Año,Autoridad Portuaria,Graneles Líquidos,Graneles Sólidos,Mercancía General,Pesca Fresca,Avitua- llamiento,Tráfico Local,TOTAL TRAFICO,TEUS,Buques
2002,Barcelona,9930153,3383298,19294744,5541,384284,0,32998020,1461232,8993
2002,Bilbao,13125429,4625295,7873372,0,129137,505870,26259103,455013,3672
2002,Cartagena,17160962,4184414,611050,2966,126059,9034,22094485,45469,1578
2002,Castellón,7501222,1905114,927258,8841,34426,0,10376861,29446,1230
2002,Ceuta ,806999,90583,805339,272,698582,0,2401775,8544,9507
2002,Ferrol-S. Cibrao  ,1108560,7626424,492427,151,18270,274,9246106,64,989
2002,Gijón,1487522,18143288,565006,10410,178052,140805,20525083,10402,1064
2002,Huelva,10867027,6504217,799458,6333,148122,0,18325157,0,1710
2002,Las Palmas,4301234,1677526,10455504,7714,2005496,0,18447474,758860,10512
2002,Málaga,119979,1805006,367623,3237,122352,2,2418199,2764,1417
2002,Marín y Ría de Pontevedra,377,1086442,814864,6435,98521,145,2006784,37304,979
2002,Melilla,82008,117715,617230,0,23611,0,840564,16444,1079
2002,Pasaia,261900,3245738,1838143,11900,45059,0,5402740,368,1633
2002,Santa Cruz de Tenerife,8606737,1530176,6171962,2410,1102949,0,17414234,400369,16432
2002,Santander,371347,4107711,931265,7945,62942,0,5481210,8378,1501
2002,Sevilla,242814,2765243,1678503,0,8837,9156,4704553,100960,1404
2002,Tarragona,17492297,10848111,1203141,4908,187474,0,29735931,53121,2624
2002,Valencia,1624565,5797755,25393372,2943,226528,0,33045163,1821005,7068
2002,Vigo,42031,683994,3045668,82604,371107,778,4226182,159325,2391
2002,Vilagarcía,363468,521790,268683,0,10204,0,1164145,0,428
2001,A Coruña,7203406,3238178,425081,29167,164077,721385,11781294,46,1288
2001,Alicante,116180,1569573,1536117,7384,61921,0,3291175,133413,1393
2001,Almería-Motril,1045832,6824719,575606,9358,83279,0,8538794,111,2218
2001,Avilés,674891,2115307,936301,12235,54815,0,3793549,26,862
2001,Bahía de Algeciras,19141826,2556619,27344496,6947,2249885,1447124,52746897,2151770,18082
2001,Bahía de Cádiz,182901,1766286,2575457,30860,114993,15827,4686324,99419,2045
2001,Baleares,1707108,1826806,6887036,2862,217119,251730,10892661,265494,8491
2001,Barcelona,9515171,3817788,18136271,5672,388310,0,31863212,1411054,8651
2001,Bilbao,14325967,4413628,7919882,6,135080,305986,27100549,454378,3845
2001,Cartagena,16310239,3390028,557206,3378,99293,11698,20371842,34692,1526
2001,Castellón,7751863,1666936,850815,12136,35480,0,10317230,24606,1205
